Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
40,100,30000,0.6,0.88,1.63,30000.31
40,100,70000,0.6,0.87,1.85,70003.90
40,100,100000,0.6,1.06,4.64,100005.39
40,100,150000,0.6,1.14,8.12,150002.52
40,100,200000,0.6,1.18,9.04,200017.35
40,100,300000,0.6,1.05,10.02,300018.34
40,100,400000,0.6,2611.20,3975.17,347679.84
40,100,500000,0.6,6115.33,9117.69,347329.39
40,100,600000,0.6,8429.57,12574.72,346921.37
