Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,5000,11,1.10,1.98,4999.70
20,100,5000,11,1.07,2.03,4991.73
20,100,10000,11,0.98,2.05,9997.75
20,100,10000,11,0.99,2.02,9997.83
20,100,20000,11,1.00,2.02,19994.14
20,100,20000,11,1.02,2.00,19993.46
20,100,30000,11,1.04,2.11,29942.61
20,100,30000,11,1.04,2.05,29992.51
20,100,40000,11,1.00,1.98,39988.41
20,100,40000,11,0.97,1.96,39988.36
20,100,50000,11,0.99,2.10,49985.68
20,100,50000,11,1.01,2.08,49985.87
20,100,60000,11,1.02,2.29,59981.07
20,100,60000,11,1.01,2.31,59982.14
20,100,70000,11,1.06,2.71,69979.14
20,100,70000,11,1.06,2.73,69979.81
20,100,80000,11,1.13,3.14,79975.18
20,100,80000,11,1.14,3.45,79976.84
20,100,90000,11,1.16,5.81,89972.91
20,100,90000,11,1.17,12.10,89972.81
20,100,100000,11,1.27,304.38,99969.44
20,100,100000,11,1.92,281.34,99968.74
20,100,110000,11,1.23,128.96,109966.28
20,100,110000,11,1.15,3.54,109967.29
20,100,120000,11,1.13,3.81,119963.88
20,100,120000,11,1.13,4.00,119962.20
