Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,1.03,2.06,29991.82
20,100,50000,11,0.96,2.06,49985.98
20,100,100000,11,1.15,3.39,99968.45
20,100,150000,11,1.10,4.99,149954.93
20,100,200000,11,1.07,6.13,199941.04
20,100,300000,11,1.06,9.80,299912.10
20,100,400000,11,1.25,15.64,399868.89
20,100,500000,11,17.33,1794.05,471567.73
20,100,600000,11,4218.88,7061.50,462650.02
20,100,700000,11,4599.81,7458.81,525487.11
