Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
40,100,20000,612,0.87,1.70,20001.65
40,100,30000,612,0.89,1.69,30000.47
40,100,50000,612,0.86,1.71,50003.77
40,100,60000,612,0.76,1.84,60002.57
40,100,70000,612,0.94,2.40,70004.26
40,100,80000,612,1.06,2.95,80006.30
40,100,90000,612,1.07,3.40,90002.72
40,100,100000,612,1.08,4.78,100004.23
40,100,150000,612,1.60,300.29,149999.59
40,100,200000,612,4.59,93.25,148984.32
