Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,11,1.25ms,2.29ms,19994.21
20,100,30000,11,5.01s,7.40s,22543.81
20,100,50000,11,11.02s,16.17s,22852.61
20,100,100000,11,15.37s,22.89s,23182.74
20,100,150000,11,16.94s,25.17s,23384.45
20,100,200000,11,17.71s,26.33s,23362.41
20,100,300000,11,18.55s,27.49s,23412.60
20,100,400000,11,18.86s,28.05s,23199.66
20,100,500000,11,19.07s,28.39s,23500.76
20,100,600000,11,19.33s,28.62s,23532.44
20,100,700000,11,19.40s,28.79s,23500.91
20,100,800000,11,19.46s,28.90s,23549.27
