Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,0.6,0.99ms,2.00ms,19993.59
20,100,30000,0.6,1.03ms,2.05ms,29991.31
20,100,50000,0.6,0.99ms,2.15ms,49985.30
20,100,100000,0.6,15.63ms,68.03ms,99767.19
20,100,150000,0.6,4.28s,6.96s,115468.01
20,100,200000,0.6,10.11s,14.05s,106079.06
20,100,300000,0.6,12.10s,18.58s,112823.11
20,100,400000,0.6,14.88s,21.73s,108290.59
20,100,500000,0.6,15.16s,23.07s,112670.93
20,100,600000,0.6,16.16s,24.31s,109951.56
20,100,700000,0.6,16.28s,25.08s,110306.35
20,100,800000,0.6,16.96s,25.72s,109246.72
