Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,1.03,2.05,29991.81
20,100,30000,11,1.03,2.04,29992.16
20,100,50000,11,0.95,1.97,49986.28
20,100,50000,11,0.97,1.95,49986.31
20,100,100000,11,1.14,3.23,99969.60
20,100,100000,11,1.13,3.18,99970.04
20,100,150000,11,1.10,4.43,149955.16
20,100,150000,11,1.11,4.73,149954.93
20,100,200000,11,1.07,5.97,199939.32
20,100,200000,11,1.08,5.83,199939.10
20,100,300000,11,524.80,983.55,292155.91
20,100,300000,11,634.37,1460.22,287984.32
20,100,400000,11,5361.66,8253.44,290370.38
20,100,400000,11,5558.27,8421.38,287875.31
20,100,500000,11,8314.88,12509.18,290334.06
20,100,500000,11,8380.42,12607.49,289059.50
20,100,600000,11,10248.19,15335.42,291196.24
20,100,600000,11,10354.69,15499.26,288197.07
20,100,700000,11,11599.87,17432.58,290591.67
20,100,700000,11,11763.71,17514.49,288531.24
