Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,1.03,2.03,29992.61
20,100,30000,11,1.04,2.05,29991.69
20,100,50000,11,0.96,1.91,49986.85
20,100,50000,11,0.97,1.94,49985.93
20,100,100000,11,1.12,3.31,99972.07
20,100,100000,11,1.14,3.32,99969.48
20,100,150000,11,1.11,4.64,149954.86
20,100,150000,11,1.11,4.65,149954.21
20,100,200000,11,1.07,5.71,199939.16
20,100,200000,11,1.08,6.82,199941.02
20,100,300000,11,1.06,8.78,299912.58
20,100,300000,11,1.06,9.21,299898.03
20,100,400000,11,1.36,15.25,399217.89
20,100,400000,11,1.41,15.91,399886.86
20,100,500000,11,13.89,555.01,489620.70
20,100,500000,11,1258.49,2746.37,460661.36
20,100,600000,11,2433.02,4431.87,511828.41
20,100,600000,11,3416.06,6455.30,474227.93
20,100,700000,11,4780.03,8351.74,505028.02
20,100,700000,11,6553.60,10043.39,467284.71
