Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,0.98,1.93,29991.32
20,100,30000,11,0.99,1.93,29991.09
20,100,50000,11,0.92,1.82,49986.52
20,100,50000,11,0.92,1.81,49985.35
20,100,100000,11,1.13,3.41,99969.59
20,100,100000,11,1.11,3.36,99970.36
20,100,150000,11,1.10,4.58,149954.14
20,100,150000,11,1.10,4.86,149954.15
20,100,200000,11,1.08,5.96,199940.32
20,100,200000,11,1.08,6.36,199942.32
20,100,300000,11,1.14,9.22,299907.65
20,100,300000,11,1.15,10.12,299896.32
20,100,400000,11,1.52,66.43,399521.59
20,100,400000,11,982.53,1573.89,387645.89
20,100,500000,11,1884.16,3885.05,436467.71
20,100,500000,11,3678.21,4485.12,431601.50
20,100,600000,11,4780.03,7131.14,458840.96
20,100,600000,11,6590.46,7712.77,448197.42
20,100,700000,11,7835.65,10698.75,451029.15
20,100,700000,11,8318.98,10608.64,451725.24
