Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,11,0.97ms,1.93ms,19993.90
20,100,30000,11,1.03ms,2.04ms,29991.09
20,100,50000,11,0.98ms,2.07ms,49986.01
20,100,100000,11,1.14ms,3.98ms,99970.19
20,100,150000,11,2.45ms,93.95ms,149938.12
20,100,200000,11,1.07ms,2.06ms,16459.48
20,100,300000,11,4.54s,5.55s,90260.53
20,100,400000,11,0.00us,0.00us,11457.56
20,100,500000,11,7.66s,9.04s,90071.42
20,100,600000,11,0.00us,0.00us,11615.13
20,100,700000,11,8.89s,10.67s,90351.28
20,100,800000,11,0.00us,0.00us,11638.73
