Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,11,1.08ms,2.11ms,19993.91
20,100,30000,11,1.15ms,2.19ms,29992.25
20,100,50000,11,5.94s,8.75s,35310.14
20,100,100000,11,12.95s,19.25s,35437.26
20,100,150000,11,15.29s,22.71s,35648.02
20,100,200000,11,16.56s,24.51s,35538.30
