Threads,Concurrency,File_k,50th_latency,99th_latency,Throughput

4,20,1,0.30,3.30,48391.67
4,100,1,1.06,6.91,70456.58
4,500,1,4.42,92.78,72032.28
4,1000,1,12.55,640.38,39174.99
10,20,1,0.24,2.61,47720.19
10,100,1,1.03,5.75,69437.90
10,500,1,4.40,78.65,72506.01
10,1000,1,12.51,629.20,39632.17
20,20,1,0.28,0.58,47344.59
20,100,1,1.09,5.39,73343.91
20,500,1,4.42,71.89,72446.42
20,1000,1,12.55,573.21,39880.27
4,20,11,0.34,3.12,49050.57
4,100,11,0.74,18.93,61217.11
4,500,11,9.08,15.12,49990.85
4,1000,11,21.29,1988.43,24278.80
10,20,11,0.28,2.56,50370.91
10,100,11,0.73,17.92,67923.06
10,500,11,10.32,12.98,46851.24
10,1000,11,20.85,5082.78,24796.15
20,20,11,0.35,0.49,48039.78
20,100,11,1.02,19.51,64795.06
20,500,11,10.29,13.75,46705.87
20,1000,11,19.99,12008.85,26181.91
4,20,111,1.83,3.31,10342.39
4,100,111,9.73,23.17,9211.63
4,500,111,115.16,284.59,4898.49
4,1000,111,140.90,6994.49,3027.59
10,20,111,1.85,3.41,10343.62
10,100,111,9.88,25.27,9277.97
10,500,111,115.41,280.58,4863.24
10,1000,111,154.76,5849.51,2933.49
20,20,111,1.85,3.34,10344.84
20,100,111,9.98,24.77,9238.18
20,500,111,115.27,286.37,4885.68
20,1000,111,132.96,5867.22,3088.13
