Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,500,11,1.30,2.09,500.63
20,100,5000,11,1.13,2.21,4999.94
20,100,10000,11,1.12,2.10,9998.30
20,100,20000,11,1.01,2.07,19994.36
20,100,30000,11,1.13,2.16,29992.29
