4,20,1,0.29,3.58,16697.22
4,100,1,0.57,8.17,103723.79
4,500,1,4.61,249.40,56359.32
4,1000,1,257.31,6119.39,2001.42
10,20,1,0.35,3.38,32854.95
10,100,1,1.71,6.66,50373.60
10,500,1,139.87,890.57,2174.09
10,1000,1,247.45,7395.60,2060.53
20,20,1,0.36,3.45,33129.88
20,100,1,1.67,6.46,51654.51
20,500,1,141.87,892.94,2189.30
20,1000,1,260.56,12786.07,1982.65
4,20,11,0.38,0.64,49794.77
4,100,11,1.09,1.52,87043.76
4,500,11,5.64,236.66,75722.90
4,1000,11,5.63,2233.53,72378.89
10,20,11,0.37,0.78,51590.24
10,100,11,1.10,4.96,84707.79
10,500,11,5.71,250.04,72329.10
10,1000,11,6.96,1121.86,70884.89
20,20,11,0.37,0.63,51631.20
20,100,11,1.11,4.14,85351.32
20,500,11,6.71,7.42,73013.37
20,1000,11,6.91,6329.40,70910.13
4,20,111,1.96,7.36,7831.71
4,100,111,12.78,44.88,6835.00
4,500,111,80.34,465.10,6516.92
4,1000,111,88.43,4386.76,6449.16
10,20,111,1.95,7.43,7758.03
10,100,111,11.73,43.39,7155.94
10,500,111,83.95,406.66,6411.71
10,1000,111,89.13,4434.92,6369.32
20,20,111,1.96,7.44,7714.38
20,100,111,11.74,44.98,7190.45
20,500,111,84.61,433.33,6395.08
20,1000,111,89.45,4310.37,6349.08
