Threads,Concurrency,File_k,50th_latency,99th_latency,Throughput

4,20,1,0.35,3.28,33165.10
4,100,1,1.75,6.50,49702.72
4,500,1,143.55,853.79,2117.08
4,1000,1,260.49,3918.67,1983.97
10,20,1,0.35,3.55,33032.99
10,100,1,1.70,6.55,51063.23
10,500,1,144.71,885.43,2121.23
10,1000,1,229.70,6911.06,1998.02
20,20,1,0.36,3.37,32814.94
20,100,1,1.70,58.56,50498.74
20,500,1,143.58,847.20,2153.69
20,1000,1,246.04,8559.59,2099.62
4,20,11,0.57,4.03,21371.52
4,100,11,2.47,10.29,35986.03
4,500,11,7.23,181.49,31740.77
4,1000,11,10.53,13828.40,29061.67
10,20,11,0.45,3.61,27910.50
10,100,11,2.49,9.37,36690.47
10,500,11,7.30,139.52,33408.59
10,1000,11,7.43,8201.43,31698.66
20,20,11,0.41,3.47,29674.39
20,100,11,2.48,10.16,36747.03
20,500,11,9.20,159.26,31970.99
20,1000,11,7.47,8646.85,29904.21
4,20,111,1.98,8.23,7723.35
4,100,111,12.95,44.44,6818.35
4,500,111,79.50,498.53,6423.18
4,1000,111,85.04,5212.47,6332.06
10,20,111,1.96,7.98,7732.98
10,100,111,11.72,48.21,7157.47
10,500,111,78.84,515.91,6163.72
10,1000,111,88.70,4125.81,6266.37
20,20,111,1.96,7.54,7720.63
20,100,111,11.68,45.61,7184.80
20,500,111,84.87,405.90,6368.73
20,1000,111,89.67,3987.45,6317.20
